sampleID,category,candidateID,evidenceIDs,sourceTimestampRange,selectionHash,selectedRankWithinCategory,categoryEligibleCount,categorySampleCount,requiredAction
secondary-angle-mouth-shape-001,Mouth Shape,CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_001-tl-009,210-219,a2d30cd27820b2726b15370ef3a1ddd8e1ade5ed547b0ab289f36d232ba703d9,1,1,1,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-nose-001,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_003,phase0-frame-video-008-tl-005,19-20,24fa00d256d6a1b5da76d2144b8924a80b683fc35eb12aec99d343b982faf38b,1,6,2,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-nose-002,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_006,phase0-frame-video-008-tl-008,25-27,31b51641da981b3d0264cc47f279da50e12506db8c300f121d6f926eb60d0610,2,6,2,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-skin-details-001,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,phase0-frame-video-005-tl-009,23-24,1e6fb05e27f8e00f6ae7b25bf11a24e9c3f095709f01b56c55b73938e9639cfa,1,10,3,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-skin-details-002,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,phase0-frame-video-005-tl-011,27-31.72,21b1a53b2da762a1fb288fb8a64c5502e496b4a2d00eb5367eb673de4e6a1e09,2,10,3,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-skin-details-003,Skin Details,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007,phase0-frame-video-005-tl-007,19-20,49d8c5e96d73d8e6890b36e843436c07200386208e40b17324efbdb9f4021263,3,10,3,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-skin-tone-001,Skin Tone,CF27_XBOXUNKNOWN_RTG_SKINTONE_022,phase0-frame-video-004-tl-014,35-36,03c645b4d31be766bd0321ee971c435ff235c056cae1b580bbae6e96abef544d,1,20,5,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-skin-tone-002,Skin Tone,CF27_XBOXUNKNOWN_RTG_SKINTONE_002,phase0-frame-video-004-tl-020,47-47,05767efb0a2b1d3d678f850a2b76c03c48638b2b802349b133c8a2f753f7a890,2,20,5,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-skin-tone-003,Skin Tone,CF27_XBOXUNKNOWN_RTG_SKINTONE_019,phase0-frame-video-004-tl-006,17-19,058367e71551d9bb99b89058578684525925215eb78be340b6d703cd97a6da51,3,20,5,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-skin-tone-004,Skin Tone,CF27_XBOXUNKNOWN_RTG_SKINTONE_007,phase0-frame-video-004-tl-010,27-28,1060f933ec1890a86d9a41535e27a9e786178b1b7bd03a1d73446ef8430a24eb,4,20,5,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
secondary-angle-skin-tone-005,Skin Tone,CF27_XBOXUNKNOWN_RTG_SKINTONE_020,phase0-frame-video-004-tl-005,15-16,14bf85501e9e3102ceb57f5ba0a611d52d9eb6eb2bafd06f945f222a5ad6285b,5,20,5,"Review secondary-angle evidence after independent counts are submitted. Record missing, mismatched, or unusable angles as discrepancies."
