assignment_id,verifier_id,target_stable_id,category,verification_scope,verifier_native_order,verifier_native_label,verifier_count,evidence_exists,front_view_exists,secondary_angle_sample_included,native_order_status,record_fields_status,evidence_files_status,front_view_status,secondary_angle_status,dependency_status,exception_status,final_disposition,discrepancy_type,resolution_action,resolution_evidence_ids,notes
phase0-second-verifier-assignment-20260714,,cf27-menu-appearance-hair,Hair,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-player-appearance,Appearance,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,category-ear-shape,Ear Shape,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,category-eye-color,Eye Color,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,category-eye-shape,Eye Shape,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,category-nose,Nose,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,category-skin-details,Skin Details,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,category-skin-tone,Skin Tone,independentCount,,,,,notApplicable,notApplicable,notApplicable,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Verifier must independently count this target before opening primary comparison worksheets.
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-head-template,Head Template,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-skin-tone,Skin Tone,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-skin-details,Skin Details,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-eye-shape,Eye Shape,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-eye-color,Eye Color,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-nose,Nose,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-ear-shape,Ear Shape,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-mouth-shape,Mouth Shape,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-jaw-shape,Jaw Shape,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-head-skin-chin,Chin,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-appearance-head-skin,Head & Skin,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-appearance-hair,Hair,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,cf27-menu-player-appearance,Appearance,menuMap,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,"Verifier must independently confirm the menu row, parent, order, and boundary state."
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_BLUE_CHIP,Body-related appearance controls,catalogItem,,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_CONTRIBUTOR,Body-related appearance controls,catalogItem,,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_ELITE,Body-related appearance controls,catalogItem,,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_JOURNEYTYPE_UNDERDOG,Body-related appearance controls,catalogItem,,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_POSITION_QB,Body-related appearance controls,catalogItem,,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,Ear Shape,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,Ear Shape,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notChecked,NOT_VERIFIED,none,,,Duplicate or ambiguous record requires explicit exception review.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,Ear Shape,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,Ear Shape,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,Eye Color,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,Eye Color,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,Facial-hair colors,catalogItem,,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,Facial hair,catalogItem,,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,Hair colors,catalogItem,,,,,,notApplicable,notApplicable,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_002,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_003,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_004,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_005,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_006,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_007,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_008,Heads,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_009,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_010,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_011,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_012,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notChecked,NOT_VERIFIED,none,,,Duplicate or ambiguous record requires explicit exception review.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_013,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_014,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_016,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notChecked,NOT_VERIFIED,none,,,Duplicate or ambiguous record requires explicit exception review.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_017,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_018,Heads,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_021,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_022,Heads,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_023,Heads,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_024,Heads,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_027,Heads,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_028,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_029,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_030,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_HEAD_031,Heads,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,Jaw Shape,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,Mouth Shape,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_NOSE_001,Nose,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_NOSE_002,Nose,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_NOSE_003,Nose,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_NOSE_004,Nose,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_NOSE_005,Nose,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notChecked,NOT_VERIFIED,none,,,Duplicate or ambiguous record requires explicit exception review.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_NOSE_006,Nose,catalogItem,,,,,,,notChecked,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_NOSE_007,Nose,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001,Skin Details,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,Skin Details,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,Skin Details,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
phase0-second-verifier-assignment-20260714,,CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004,Skin Details,catalogItem,,,,,,notApplicable,notChecked,notChecked,notChecked,notChecked,notApplicable,notApplicable,notApplicable,NOT_VERIFIED,none,,,Record-level review happens only after independent counts are complete.
