workspaceID,catalogStableID,nativeOrder,visibleGameLabelOrIndex,supportingViewCount,humanAnnotationCount,annotationStatus,verificationState,productionStatus,readyForProductionCatalog
head-annotation-workspace-cf27_xboxunknown_rtg_head_011,CF27_XBOXUNKNOWN_RTG_HEAD_011,11,Face 11,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_012,CF27_XBOXUNKNOWN_RTG_HEAD_012,12,Face 12,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_013,CF27_XBOXUNKNOWN_RTG_HEAD_013,13,Face 13,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_014,CF27_XBOXUNKNOWN_RTG_HEAD_014,14,Face 14,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_015,CF27_XBOXUNKNOWN_RTG_HEAD_015,15,Face 15,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_016,CF27_XBOXUNKNOWN_RTG_HEAD_016,16,Face 16,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_017,CF27_XBOXUNKNOWN_RTG_HEAD_017,17,Face 17,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_018,CF27_XBOXUNKNOWN_RTG_HEAD_018,18,Face 18,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_019,CF27_XBOXUNKNOWN_RTG_HEAD_019,19,Face 19,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_020,CF27_XBOXUNKNOWN_RTG_HEAD_020,20,Face 20,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_021,CF27_XBOXUNKNOWN_RTG_HEAD_021,21,Face 21,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_022,CF27_XBOXUNKNOWN_RTG_HEAD_022,22,Face 22,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_023,CF27_XBOXUNKNOWN_RTG_HEAD_023,23,Face 23,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_024,CF27_XBOXUNKNOWN_RTG_HEAD_024,24,Face 24,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_025,CF27_XBOXUNKNOWN_RTG_HEAD_025,25,Face 25,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_026,CF27_XBOXUNKNOWN_RTG_HEAD_026,26,Face 26,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_027,CF27_XBOXUNKNOWN_RTG_HEAD_027,27,Face 27,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_028,CF27_XBOXUNKNOWN_RTG_HEAD_028,28,Face 28,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
head-annotation-workspace-cf27_xboxunknown_rtg_head_029,CF27_XBOXUNKNOWN_RTG_HEAD_029,29,Face 29,6,0,HUMAN_ANNOTATION_REQUIRED,NOT_VERIFIED,NOT_PRODUCTION_DATA,false
