packageLabel,captureEventID,sourceFilename,beginningTimestamp,endingTimestamp,category,nativeOption,catalogCandidate,action,rotationOrMenuSelectionEvent,evidenceGenerated,issueDetected,retakeStatus,notes
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-008,02_Head_Templates_Faces_01-12.mov,49,53,Head Template,Face 8,CF27_XBOXUNKNOWN_RTG_HEAD_008,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_008-front; evidence-frame-cf27_xboxunknown_rtg_head_008-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_008-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_008-menu; evidence-frame-cf27_xboxunknown_rtg_head_008-rear; evidence-frame-cf27_xboxunknown_rtg_head_008-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_008-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-009,02_Head_Templates_Faces_01-12.mov,54,59,Head Template,Face 7,CF27_XBOXUNKNOWN_RTG_HEAD_007,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_007-front; evidence-frame-cf27_xboxunknown_rtg_head_007-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_007-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_007-menu; evidence-frame-cf27_xboxunknown_rtg_head_007-rear; evidence-frame-cf27_xboxunknown_rtg_head_007-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_007-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-010,02_Head_Templates_Faces_01-12.mov,60,68,Head Template,Face 6,CF27_XBOXUNKNOWN_RTG_HEAD_006,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_006-front; evidence-frame-cf27_xboxunknown_rtg_head_006-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_006-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_006-menu; evidence-frame-cf27_xboxunknown_rtg_head_006-rear; evidence-frame-cf27_xboxunknown_rtg_head_006-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_006-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-011,02_Head_Templates_Faces_01-12.mov,69,74,Head Template,Face 5,CF27_XBOXUNKNOWN_RTG_HEAD_005,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_005-front; evidence-frame-cf27_xboxunknown_rtg_head_005-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_005-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_005-menu; evidence-frame-cf27_xboxunknown_rtg_head_005-rear; evidence-frame-cf27_xboxunknown_rtg_head_005-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_005-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-012,02_Head_Templates_Faces_01-12.mov,75,79,Head Template,Face 9,CF27_XBOXUNKNOWN_RTG_HEAD_009,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_009-front; evidence-frame-cf27_xboxunknown_rtg_head_009-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_009-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_009-menu; evidence-frame-cf27_xboxunknown_rtg_head_009-rear; evidence-frame-cf27_xboxunknown_rtg_head_009-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_009-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-013,02_Head_Templates_Faces_01-12.mov,80,88,Head Template,Face 10,CF27_XBOXUNKNOWN_RTG_HEAD_010,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_010-front; evidence-frame-cf27_xboxunknown_rtg_head_010-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_010-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_010-menu; evidence-frame-cf27_xboxunknown_rtg_head_010-rear; evidence-frame-cf27_xboxunknown_rtg_head_010-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_010-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-014,02_Head_Templates_Faces_01-12.mov,89,94,Head Template,Face 11,CF27_XBOXUNKNOWN_RTG_HEAD_011,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_011-front; evidence-frame-cf27_xboxunknown_rtg_head_011-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_011-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_011-menu; evidence-frame-cf27_xboxunknown_rtg_head_011-rear; evidence-frame-cf27_xboxunknown_rtg_head_011-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_011-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-015,02_Head_Templates_Faces_01-12.mov,95,100,Head Template,Face 12,CF27_XBOXUNKNOWN_RTG_HEAD_012,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_012-front; evidence-frame-cf27_xboxunknown_rtg_head_012-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_012-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_012-menu; evidence-frame-cf27_xboxunknown_rtg_head_012-rear; evidence-frame-cf27_xboxunknown_rtg_head_012-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_012-right_profile; evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-002-tl-016,02_Head_Templates_Faces_01-12.mov,101,108.8,Head Template,Face 16,CF27_XBOXUNKNOWN_RTG_HEAD_016,optionSelection,menu_selection_and_rotation,evidence-video-002-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options. This selected label appears despite the source-manifest description of this recording as Face 1 through Face 12; timeline records the observed selected state only.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-001,03_Head_Templates_Faces_12-29.mov,0,4,Head Template,Face 12,CF27_XBOXUNKNOWN_RTG_HEAD_012,optionSelection,menu_selection_and_rotation,evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected. Recording begins mid-option on an already selected Head Template item; intentional overlap with video-002 is preserved.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-002,03_Head_Templates_Faces_12-29.mov,5,13,Head Template,Face 16,CF27_XBOXUNKNOWN_RTG_HEAD_016,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_016-front; evidence-frame-cf27_xboxunknown_rtg_head_016-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_016-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_016-menu; evidence-frame-cf27_xboxunknown_rtg_head_016-rear; evidence-frame-cf27_xboxunknown_rtg_head_016-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_016-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-003,03_Head_Templates_Faces_12-29.mov,14,20,Head Template,Face 14,CF27_XBOXUNKNOWN_RTG_HEAD_014,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_014-front; evidence-frame-cf27_xboxunknown_rtg_head_014-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_014-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_014-menu; evidence-frame-cf27_xboxunknown_rtg_head_014-rear; evidence-frame-cf27_xboxunknown_rtg_head_014-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_014-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-004,03_Head_Templates_Faces_12-29.mov,21,29,Head Template,Face 13,CF27_XBOXUNKNOWN_RTG_HEAD_013,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_013-front; evidence-frame-cf27_xboxunknown_rtg_head_013-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_013-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_013-menu; evidence-frame-cf27_xboxunknown_rtg_head_013-rear; evidence-frame-cf27_xboxunknown_rtg_head_013-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_013-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-005,03_Head_Templates_Faces_12-29.mov,30,39,Head Template,Face 17,CF27_XBOXUNKNOWN_RTG_HEAD_017,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_017-front; evidence-frame-cf27_xboxunknown_rtg_head_017-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_017-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_017-menu; evidence-frame-cf27_xboxunknown_rtg_head_017-rear; evidence-frame-cf27_xboxunknown_rtg_head_017-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_017-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-006,03_Head_Templates_Faces_12-29.mov,40,49,Head Template,Face 18,CF27_XBOXUNKNOWN_RTG_HEAD_018,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_018-front; evidence-frame-cf27_xboxunknown_rtg_head_018-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_018-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_018-menu; evidence-frame-cf27_xboxunknown_rtg_head_018-rear; evidence-frame-cf27_xboxunknown_rtg_head_018-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_018-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-007,03_Head_Templates_Faces_12-29.mov,50,59,Head Template,Face 23,CF27_XBOXUNKNOWN_RTG_HEAD_023,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_023-front; evidence-frame-cf27_xboxunknown_rtg_head_023-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_023-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_023-menu; evidence-frame-cf27_xboxunknown_rtg_head_023-rear; evidence-frame-cf27_xboxunknown_rtg_head_023-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_023-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-008,03_Head_Templates_Faces_12-29.mov,60,69,Head Template,Face 24,CF27_XBOXUNKNOWN_RTG_HEAD_024,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_024-front; evidence-frame-cf27_xboxunknown_rtg_head_024-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_024-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_024-menu; evidence-frame-cf27_xboxunknown_rtg_head_024-rear; evidence-frame-cf27_xboxunknown_rtg_head_024-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_024-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-009,03_Head_Templates_Faces_12-29.mov,70,79,Head Template,Face 22,CF27_XBOXUNKNOWN_RTG_HEAD_022,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_022-front; evidence-frame-cf27_xboxunknown_rtg_head_022-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_022-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_022-menu; evidence-frame-cf27_xboxunknown_rtg_head_022-rear; evidence-frame-cf27_xboxunknown_rtg_head_022-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_022-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-010,03_Head_Templates_Faces_12-29.mov,80,89,Head Template,Face 21,CF27_XBOXUNKNOWN_RTG_HEAD_021,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_021-front; evidence-frame-cf27_xboxunknown_rtg_head_021-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_021-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_021-menu; evidence-frame-cf27_xboxunknown_rtg_head_021-rear; evidence-frame-cf27_xboxunknown_rtg_head_021-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_021-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-011,03_Head_Templates_Faces_12-29.mov,90,99,Head Template,Face 27,CF27_XBOXUNKNOWN_RTG_HEAD_027,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_027-front; evidence-frame-cf27_xboxunknown_rtg_head_027-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_027-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_027-menu; evidence-frame-cf27_xboxunknown_rtg_head_027-rear; evidence-frame-cf27_xboxunknown_rtg_head_027-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_027-right_profile; evidence-video-003-source-master,"{""code"":""candidateTimestampMismatch"",""severity"":""warning"",""message"":""Candidate identity was matched by label/video, but candidate evidence timestamps do not overlap this timeline event.""}",recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-012,03_Head_Templates_Faces_12-29.mov,100,109,Head Template,Face 28,CF27_XBOXUNKNOWN_RTG_HEAD_028,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_028-front; evidence-frame-cf27_xboxunknown_rtg_head_028-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_028-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_028-menu; evidence-frame-cf27_xboxunknown_rtg_head_028-rear; evidence-frame-cf27_xboxunknown_rtg_head_028-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_028-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-013,03_Head_Templates_Faces_12-29.mov,110,119,Head Template,Face 31,,optionSelection,menu_selection_and_rotation,evidence-video-003-source-master,"{""code"":""selectedOptionWithoutCandidateRecord"",""severity"":""warning"",""message"":""A selected native option is logged, but no research-candidate catalog record currently exists for it.""}",not_recorded,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected. No catalog candidate was created by this capture-log task.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-014,03_Head_Templates_Faces_12-29.mov,120,126,Head Template,Face 30,,optionSelection,menu_selection_and_rotation,evidence-video-003-source-master,"{""code"":""selectedOptionWithoutCandidateRecord"",""severity"":""warning"",""message"":""A selected native option is logged, but no research-candidate catalog record currently exists for it.""}",not_recorded,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected. No catalog candidate was created by this capture-log task.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-003-tl-015,03_Head_Templates_Faces_12-29.mov,127,133.02,Head Template,Face 29,CF27_XBOXUNKNOWN_RTG_HEAD_029,optionSelection,menu_selection_and_rotation,evidence-frame-cf27_xboxunknown_rtg_head_029-front; evidence-frame-cf27_xboxunknown_rtg_head_029-left_3q; evidence-frame-cf27_xboxunknown_rtg_head_029-left_profile; evidence-frame-cf27_xboxunknown_rtg_head_029-menu; evidence-frame-cf27_xboxunknown_rtg_head_029-rear; evidence-frame-cf27_xboxunknown_rtg_head_029-right_3q; evidence-frame-cf27_xboxunknown_rtg_head_029-right_profile; evidence-video-003-source-master,,recapture_required_for_production_comparison,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected. Recording ends while still in Head Template with Face 29 selected.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-004-tl-001,04_Skin_Tone.mp4,0,7,Head Template,,,loading,none,evidence-video-004-source-master,"{""code"":""characterLoading"",""severity"":""warning"",""message"":""Character or menu loading is visible during this timestamp range.""}",not_recorded,"Navigation from Head Template toward Skin Tone; Face 1 appears as prior selected head context, not a newly indexed option."
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-004-tl-002,04_Skin_Tone.mp4,8,11,Skin Tone,Skin Tone 09,CF27_XBOXUNKNOWN_RTG_SKINTONE_009,optionSelection,menu_selection,evidence-frame-cf27_xboxunknown_rtg_skintone_009-character_stable; evidence-frame-cf27_xboxunknown_rtg_skintone_009-menu; evidence-video-004-source-master,,no_retake_recorded,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,capture-event-video-004-tl-003,04_Skin_Tone.mp4,12,13,Skin Tone,Skin Tone 04,CF27_XBOXUNKNOWN_RTG_SKINTONE_004,optionSelection,menu_selection,evidence-frame-cf27_xboxunknown_rtg_skintone_004-character_stable; evidence-frame-cf27_xboxunknown_rtg_skintone_004-menu; evidence-video-004-source-master,,no_retake_recorded,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
