packageLabel,stableInternalID,nativeOrder,category,nativeOption,kind,verificationState,productionStatus,selectedEvidence,sourceImageFrameIDs,missingViews,recaptureRequired,notes
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_011,11,Skin Tone,Skin Tone 11,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:50.0-53.82,evidence-frame-cf27_xboxunknown_rtg_skintone_011-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_011-menu|frame-cf27_xboxunknown_rtg_skintone_011-character_stable|frame-cf27_xboxunknown_rtg_skintone_011-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_012,12,Skin Tone,Skin Tone 12,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:43.0-44.0,evidence-frame-cf27_xboxunknown_rtg_skintone_012-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_012-menu|frame-cf27_xboxunknown_rtg_skintone_012-character_stable|frame-cf27_xboxunknown_rtg_skintone_012-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_013,13,Skin Tone,Skin Tone 13,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:39.0-40.0,evidence-frame-cf27_xboxunknown_rtg_skintone_013-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_013-menu|frame-cf27_xboxunknown_rtg_skintone_013-character_stable|frame-cf27_xboxunknown_rtg_skintone_013-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_014,14,Skin Tone,Skin Tone 14,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:38.0-38.0,evidence-frame-cf27_xboxunknown_rtg_skintone_014-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_014-menu|frame-cf27_xboxunknown_rtg_skintone_014-character_stable|frame-cf27_xboxunknown_rtg_skintone_014-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_015,15,Skin Tone,Skin Tone 15,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:21.0-22.0,evidence-frame-cf27_xboxunknown_rtg_skintone_015-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_015-menu|frame-cf27_xboxunknown_rtg_skintone_015-character_stable|frame-cf27_xboxunknown_rtg_skintone_015-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_016,16,Skin Tone,Skin Tone 16,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:14.0-14.0,evidence-frame-cf27_xboxunknown_rtg_skintone_016-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_016-menu|frame-cf27_xboxunknown_rtg_skintone_016-character_stable|frame-cf27_xboxunknown_rtg_skintone_016-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_017,17,Skin Tone,Skin Tone 17,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:36.0-37.0,evidence-frame-cf27_xboxunknown_rtg_skintone_017-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_017-menu|frame-cf27_xboxunknown_rtg_skintone_017-character_stable|frame-cf27_xboxunknown_rtg_skintone_017-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_018,18,Skin Tone,Skin Tone 18,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:19.0-20.0,evidence-frame-cf27_xboxunknown_rtg_skintone_018-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_018-menu|frame-cf27_xboxunknown_rtg_skintone_018-character_stable|frame-cf27_xboxunknown_rtg_skintone_018-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_019,19,Skin Tone,Skin Tone 19,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:17.0-18.0,evidence-frame-cf27_xboxunknown_rtg_skintone_019-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_019-menu|frame-cf27_xboxunknown_rtg_skintone_019-character_stable|frame-cf27_xboxunknown_rtg_skintone_019-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_020,20,Skin Tone,Skin Tone 20,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:15.0-16.0,evidence-frame-cf27_xboxunknown_rtg_skintone_020-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_020-menu|frame-cf27_xboxunknown_rtg_skintone_020-character_stable|frame-cf27_xboxunknown_rtg_skintone_020-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_021,21,Skin Tone,Skin Tone 21,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:23.0-24.0,evidence-frame-cf27_xboxunknown_rtg_skintone_021-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_021-menu|frame-cf27_xboxunknown_rtg_skintone_021-character_stable|frame-cf27_xboxunknown_rtg_skintone_021-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_022,22,Skin Tone,Skin Tone 22,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:34.0-35.0,evidence-frame-cf27_xboxunknown_rtg_skintone_022-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_022-menu|frame-cf27_xboxunknown_rtg_skintone_022-character_stable|frame-cf27_xboxunknown_rtg_skintone_022-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_023,23,Skin Tone,Skin Tone 23,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:31.0-32.0,evidence-frame-cf27_xboxunknown_rtg_skintone_023-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_023-menu|frame-cf27_xboxunknown_rtg_skintone_023-character_stable|frame-cf27_xboxunknown_rtg_skintone_023-menu,,false,
PRIMARY RESEARCH CANDIDATE — NOT PRODUCTION VERIFIED,CF27_XBOXUNKNOWN_RTG_SKINTONE_024,24,Skin Tone,Skin Tone 24,additionalFaceMatchingAttribute,NOT_VERIFIED,NOT_PRODUCTION_DATA,video-004:33.0-33.0,evidence-frame-cf27_xboxunknown_rtg_skintone_024-character_stable|evidence-frame-cf27_xboxunknown_rtg_skintone_024-menu|frame-cf27_xboxunknown_rtg_skintone_024-character_stable|frame-cf27_xboxunknown_rtg_skintone_024-menu,,false,
