reviewID,category,stableInternalID,nativeOrder,candidateNativeLabel,ocrTextNormalized,ocrConfidence,reviewReason,priority,frameID,framePath,cropX,cropY,cropWidth,cropHeight,requiredAction
ocr-review-cf27_xboxunknown_rtg_eyeshape_001,Eye Shape,CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,1,Almond,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyeshape_001-menu,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_001/CF27_XBOXUNKNOWN_RTG_EYESHAPE_001_MENU_video-006_14p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyeshape_002,Eye Shape,CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,2,None,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyeshape_002-menu,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_002/CF27_XBOXUNKNOWN_RTG_EYESHAPE_002_MENU_video-006_16p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyeshape_003,Eye Shape,CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,3,Prominent,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyeshape_003-menu,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_003/CF27_XBOXUNKNOWN_RTG_EYESHAPE_003_MENU_video-006_18p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyeshape_004,Eye Shape,CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,4,Monolid,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyeshape_004-menu,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_004/CF27_XBOXUNKNOWN_RTG_EYESHAPE_004_MENU_video-006_19p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyeshape_005,Eye Shape,CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,5,Hooded,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyeshape_005-menu,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_005_MENU_video-006_22p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyecolor_001,Eye Color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,1,Light Blue,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyecolor_001-menu_thumbnail_evidence,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001_MENU_THUMBNAIL_EVIDENCE_video-007_13p00s.png,470,224,280,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyecolor_002,Eye Color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,2,Light Brown,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyecolor_002-menu_thumbnail_evidence,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_002/CF27_XBOXUNKNOWN_RTG_EYECOLOR_002_MENU_THUMBNAIL_EVIDENCE_video-007_15p00s.png,470,224,280,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyecolor_003,Eye Color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,3,Brown,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyecolor_003-menu_thumbnail_evidence,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_003/CF27_XBOXUNKNOWN_RTG_EYECOLOR_003_MENU_THUMBNAIL_EVIDENCE_video-007_17p00s.png,470,224,280,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyecolor_004,Eye Color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,4,Blue,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyecolor_004-menu_thumbnail_evidence,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_004/CF27_XBOXUNKNOWN_RTG_EYECOLOR_004_MENU_THUMBNAIL_EVIDENCE_video-007_19p00s.png,470,224,280,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyecolor_005,Eye Color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,5,Light Green,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyecolor_005-menu_thumbnail_evidence,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_005/CF27_XBOXUNKNOWN_RTG_EYECOLOR_005_MENU_THUMBNAIL_EVIDENCE_video-007_28p00s.png,470,224,280,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyecolor_006,Eye Color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,6,Grey,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyecolor_006-menu_thumbnail_evidence,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_006/CF27_XBOXUNKNOWN_RTG_EYECOLOR_006_MENU_THUMBNAIL_EVIDENCE_video-007_24p00s.png,470,224,280,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_eyecolor_007,Eye Color,CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,7,Hazel,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_eyecolor_007-menu_thumbnail_evidence,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_007_MENU_THUMBNAIL_EVIDENCE_video-007_22p00s.png,470,224,280,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_nose_001,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_001,1,None,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_nose_001-menu_evidence,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_001/CF27_XBOXUNKNOWN_RTG_NOSE_001_MENU_EVIDENCE_video-008_15p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_nose_002,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_002,2,Hooked,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_nose_002-menu_evidence,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_002/CF27_XBOXUNKNOWN_RTG_NOSE_002_MENU_EVIDENCE_video-008_17p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_nose_003,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_003,3,Button,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_nose_003-menu_evidence,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_003/CF27_XBOXUNKNOWN_RTG_NOSE_003_MENU_EVIDENCE_video-008_19p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_nose_004,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_004,4,Nubian,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_nose_004-menu_evidence,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_004/CF27_XBOXUNKNOWN_RTG_NOSE_004_MENU_EVIDENCE_video-008_21p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_nose_005,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_005,5,Aquiline,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_nose_005-menu_evidence,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_005/CF27_XBOXUNKNOWN_RTG_NOSE_005_MENU_EVIDENCE_video-008_29p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_nose_006,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_006,6,Roman,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_nose_006-menu_evidence,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_006/CF27_XBOXUNKNOWN_RTG_NOSE_006_MENU_EVIDENCE_video-008_26p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_nose_007,Nose,CF27_XBOXUNKNOWN_RTG_NOSE_007,7,Funnel,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_nose_007-menu_evidence,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_007/CF27_XBOXUNKNOWN_RTG_NOSE_007_MENU_EVIDENCE_video-008_23p00s.png,470,224,250,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_earshape_001,Ear Shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_001,1,Attached Lobe,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_earshape_001-menu_evidence,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001_MENU_EVIDENCE_video-009_18p00s.png,470,224,310,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_earshape_002,Ear Shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_002,2,None,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_earshape_002-menu_evidence,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002_MENU_EVIDENCE_video-009_23p00s.png,470,224,310,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_earshape_003,Ear Shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_003,3,Round Free Lobe,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_earshape_003-menu_evidence,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_003/CF27_XBOXUNKNOWN_RTG_EARSHAPE_003_MENU_EVIDENCE_video-009_24p00s.png,470,224,310,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
ocr-review-cf27_xboxunknown_rtg_earshape_004,Ear Shape,CF27_XBOXUNKNOWN_RTG_EARSHAPE_004,4,Pointed,,0,ocrEngineUnavailable,medium,frame-cf27_xboxunknown_rtg_earshape_004-menu_evidence,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004_MENU_EVIDENCE_video-009_26p00s.png,470,224,310,54,Visually inspect the original frame and targeted crop region before confirming or correcting the native label.
