timelineId,videoId,workingFilename,portableRelativeEvidencePath,startSeconds,endSeconds,eventTypes,menuHeading,selectedNativeOptionLabel,selectionState,visibleNonSelectedLabels,viewCoverage,characterLoading,stableVisualPeriod,rotationObserved,notificationOverlayObserved,motionBlurObserved,menuExitObserved,recordingGapObserved,inspectionBasis,notes
video-001-tl-011,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,67.0,70.0,navigation_screens|menu_exits,Exit confirmation modal,,not_applicable,,,False,False,False,False,False,True,False,direct_1fps_contact_sheet,Leave/exit confirmation modal appears.
video-001-tl-012,video-001,01_Environment_and_Creation_Path.mp4,OWNER_DOWNLOADS/01_Environment_and_Creation_Path.MP4,71.0,73.57,navigation_screens|notification_overlays|stable_visual_periods,Create Player menu after exit cancellation/return,,not_applicable,,front_view|full_body,False,True,False,True,False,False,False,direct_1fps_contact_sheet,Returns to player creation/menu state; small bottom notification overlay appears near the end.
video-002-tl-001,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,0.0,5.0,navigation_screens|menu_headings|stable_visual_periods,Create Player / Appearance navigation,,not_applicable,,menu,False,True,False,False,False,False,False,direct_1fps_contact_sheet,
video-002-tl-002,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,6.0,7.0,navigation_screens|menu_headings,Head & Skin submenu,,not_applicable,,menu,False,False,False,False,False,False,False,direct_1fps_contact_sheet,Navigation into head/skin area before Head Template grid.
video-002-tl-003,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,8.0,9.0,character_loading_periods|menu_headings|notification_overlays,Head Template transition/loading,,not_applicable,,,True,False,False,True,False,False,False,direct_1fps_contact_sheet,Transition into Head Template. EA/music notification overlay visible around this entry.
video-002-tl-004,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,10.0,19.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 1,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-005,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,20.0,28.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 2,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-006,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,29.0,38.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 3,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-007,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,39.0,48.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 4,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-008,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,49.0,53.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 8,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-009,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,54.0,59.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 7,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-010,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,60.0,68.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 6,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-011,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,69.0,74.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 5,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-012,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,75.0,79.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 9,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-013,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,80.0,88.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 10,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-014,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,89.0,94.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 11,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-015,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,95.0,100.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 12,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options.
video-002-tl-016,video-002,02_Head_Templates_Faces_01-12.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_1.mp4.MOV,101.0,108.8,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 16,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframe crops,Selected Head Template label is directly readable. Neighboring thumbnail faces are visible but are not treated as selected options. This selected label appears despite the source-manifest description of this recording as Face 1 through Face 12; timeline records the observed selected state only.
video-003-tl-001,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,0.0,4.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 12,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected. Recording begins mid-option on an already selected Head Template item; intentional overlap with video-002 is preserved.
video-003-tl-002,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,5.0,13.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 16,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-003,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,14.0,20.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 14,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-004,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,21.0,29.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 13,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-005,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,30.0,39.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 17,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-006,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,40.0,49.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 18,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-007,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,50.0,59.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 23,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-008,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,60.0,69.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 24,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-009,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,70.0,79.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 22,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-010,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,80.0,89.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 21,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-011,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,90.0,99.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 27,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-012,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,100.0,109.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 28,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-013,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,110.0,119.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 31,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-014,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,120.0,126.0,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 30,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected.
video-003-tl-015,video-003,03_Head_Templates_Faces_12-29.mov,OWNER_DOWNLOADS/02_Appearance_Menu_Part_2.mp4.MOV,127.0,133.02,menu_headings|native_option_labels|option_changes|stable_visual_periods|rotations|front_views|three_quarter_views|profile_views|rear_views,HEAD TEMPLATE,Face 29,deliberately_selected,,front_view|three_quarter_view|profile_view|rear_view,False,True,True,False,False,False,False,1 fps label sheet plus spot keyframes,Selected Head Template label is directly readable. Neighboring thumbnails remain non-selected. Recording ends while still in Head Template with Face 29 selected.
video-004-tl-001,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,0.0,7.0,navigation_screens|menu_headings|character_loading_periods,Head & Skin / Head Template navigation,,not_applicable,,menu,True,False,False,False,False,False,False,direct_1fps_contact_sheet,"Navigation from Head Template toward Skin Tone; Face 1 appears as prior selected head context, not a newly indexed option."
video-004-tl-002,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,8.0,11.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 09,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-003,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,12.0,13.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 04,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-004,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,14.0,14.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 10,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-005,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,15.0,16.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 20,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-006,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,17.0,19.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 19,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-007,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,20.0,22.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 18,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-008,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,23.0,24.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 21,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-009,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,25.0,26.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 08,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-010,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,27.0,28.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 07,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-011,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,29.0,30.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 06,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-012,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,31.0,32.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 29,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-013,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,33.0,34.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 24,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-014,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,35.0,36.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 22,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-015,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,37.0,38.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 17,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-016,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,39.0,40.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 13,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-017,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,41.0,42.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 10,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-018,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,43.0,44.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 12,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-019,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,45.0,46.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 01,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
video-004-tl-020,video-004,04_Skin_Tone.mp4,OWNER_DOWNLOADS/03_Appearance_Skin_Tone.MP4,47.0,47.0,menu_headings|native_option_labels|option_changes|stable_visual_periods,SKIN TONE,Skin Tone 02,deliberately_selected,,menu_grid,False,True,False,False,False,False,False,direct_1fps_contact_sheet,Selected native Skin Tone label is directly readable; non-selected swatches in the grid are not indexed as selected options.
