stable_candidate_id,game_id,category,suspected_native_label,suspected_native_index,suspected_native_order,supporting_source_media_ids,supporting_timestamps,extraction_confidence,primary_review_status,second_verification_status,production_status,recapture_status,issues
FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_3,ea-sports-fc-26,Skin Surface,Skin Surface 3,3,3,GFM_MEDIA_FC26_6AB6BFCA771C,40,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FRECKLES_NONE,ea-sports-fc-26,Freckles,None,,,GFM_MEDIA_FC26_6AB6BFCA771C,0,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FRECKLES_FRECKLES_2,ea-sports-fc-26,Freckles,Freckles 2,2,2,GFM_MEDIA_FC26_6AB6BFCA771C,45,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FRECKLES_FRECKLES_12,ea-sports-fc-26,Freckles,Freckles 12,12,12,GFM_MEDIA_FC26_6AB6BFCA771C,50,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FRECKLES_FRECKLES_3,ea-sports-fc-26,Freckles,Freckles 3,3,3,GFM_MEDIA_FC26_6AB6BFCA771C,55,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_9,ea-sports-fc-26,Scarring,Scarring 9,9,9,GFM_MEDIA_FC26_6AB6BFCA771C,60,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_18,ea-sports-fc-26,Scarring,Scarring 18,18,18,GFM_MEDIA_FC26_6AB6BFCA771C,65,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_26,ea-sports-fc-26,Scarring,Scarring 26,26,26,GFM_MEDIA_FC26_6AB6BFCA771C,70,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_36,ea-sports-fc-26,Scarring,Scarring 36,36,36,GFM_MEDIA_FC26_6AB6BFCA771C,75,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_MOLES_MOLES_2,ea-sports-fc-26,Moles,Moles 2,2,2,GFM_MEDIA_FC26_6AB6BFCA771C,80,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_MOLES_MOLES_7,ea-sports-fc-26,Moles,Moles 7,7,7,GFM_MEDIA_FC26_6AB6BFCA771C,90,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_ROSACEA_ROSACEA_5,ea-sports-fc-26,Rosacea,Rosacea 5,5,5,GFM_MEDIA_FC26_6AB6BFCA771C,100,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FACE_MAKEUP_FACE_MAKEUP_2,ea-sports-fc-26,Face Makeup,Face Makeup 2,2,2,GFM_MEDIA_FC26_6AB6BFCA771C,105,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_LIP_MAKEUP_NONE,ea-sports-fc-26,Lip Makeup,None,,,GFM_MEDIA_FC26_6AB6BFCA771C,110,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_1002,ea-sports-fc-26,Forehead,Forehead 1002,1002,1002,GFM_MEDIA_FC26_6AB6BFCA771C,115,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_294,ea-sports-fc-26,Forehead,Forehead 294,294,294,GFM_MEDIA_FC26_6AB6BFCA771C,120,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_23,ea-sports-fc-26,Forehead,Forehead 23,23,23,GFM_MEDIA_FC26_6AB6BFCA771C,125,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_175,ea-sports-fc-26,Forehead,Forehead 175,175,175,GFM_MEDIA_FC26_6AB6BFCA771C,130,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_304,ea-sports-fc-26,Forehead,Forehead 304,304,304,GFM_MEDIA_FC26_6AB6BFCA771C,135,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_9,ea-sports-fc-26,Forehead,Forehead 9,9,9,GFM_MEDIA_FC26_6AB6BFCA771C,140,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_JAW_JAW_226,ea-sports-fc-26,Jaw,Jaw 226,226,226,GFM_MEDIA_FC26_6AB6BFCA771C,120,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_JAW_JAW_260,ea-sports-fc-26,Jaw,Jaw 260,260,260,GFM_MEDIA_FC26_6AB6BFCA771C,140,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_JAW_JAW_9,ea-sports-fc-26,Jaw,Jaw 9,9,9,GFM_MEDIA_FC26_6AB6BFCA771C,145,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_JAW_JAW_151,ea-sports-fc-26,Jaw,Jaw 151,151,151,GFM_MEDIA_FC26_6AB6BFCA771C,150,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_JAW_JAW_294,ea-sports-fc-26,Jaw,Jaw 294,294,294,GFM_MEDIA_FC26_6AB6BFCA771C,155,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_JAW_JAW_1002,ea-sports-fc-26,Jaw,Jaw 1002,1002,1002,GFM_MEDIA_FC26_6AB6BFCA771C,160,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_EARS_EARS_175,ea-sports-fc-26,Ears,Ears 175,175,175,GFM_MEDIA_FC26_6AB6BFCA771C,120,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_EARS_EARS_249,ea-sports-fc-26,Ears,Ears 249,249,249,GFM_MEDIA_FC26_6AB6BFCA771C,160,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_EARS_EARS_1006,ea-sports-fc-26,Ears,Ears 1006,1006,1006,GFM_MEDIA_FC26_6AB6BFCA771C,165,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_EARS_EARS_194,ea-sports-fc-26,Ears,Ears 194,194,194,GFM_MEDIA_FC26_6AB6BFCA771C,170,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_EARS_EARS_170,ea-sports-fc-26,Ears,Ears 170,170,170,GFM_MEDIA_FC26_6AB6BFCA771C,180,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_202,ea-sports-fc-26,Cheeks,Cheeks 202,202,202,GFM_MEDIA_FC26_6AB6BFCA771C,160,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_299,ea-sports-fc-26,Cheeks,Cheeks 299,299,299,GFM_MEDIA_FC26_6AB6BFCA771C,180,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_43,ea-sports-fc-26,Cheeks,Cheeks 43,43,43,GFM_MEDIA_FC26_6AB6BFCA771C,185,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_203,ea-sports-fc-26,Cheeks,Cheeks 203,203,203,GFM_MEDIA_FC26_6AB6BFCA771C,190,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_226,ea-sports-fc-26,Cheeks,Cheeks 226,226,226,GFM_MEDIA_FC26_6AB6BFCA771C,195,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_226,ea-sports-fc-26,Chin,Chin 226,226,226,GFM_MEDIA_FC26_6AB6BFCA771C,195,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_268,ea-sports-fc-26,Chin,Chin 268,268,268,GFM_MEDIA_FC26_6AB6BFCA771C,190,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_1003,ea-sports-fc-26,Chin,Chin 1003,1003,1003,GFM_MEDIA_FC26_6AB6BFCA771C,200,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_118,ea-sports-fc-26,Chin,Chin 118,118,118,GFM_MEDIA_FC26_6AB6BFCA771C,205,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_1001,ea-sports-fc-26,Chin,Chin 1001,1001,1001,GFM_MEDIA_FC26_6AB6BFCA771C,210,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_NECK_NECK_241,ea-sports-fc-26,Neck,Neck 241,241,241,GFM_MEDIA_FC26_6AB6BFCA771C,190,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_NECK_NECK_304,ea-sports-fc-26,Neck,Neck 304,304,304,GFM_MEDIA_FC26_6AB6BFCA771C,215,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_NECK_NECK_52,ea-sports-fc-26,Neck,Neck 52,52,52,GFM_MEDIA_FC26_6AB6BFCA771C,220,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HEAD_NECK_NECK_1002,ea-sports-fc-26,Neck,Neck 1002,1002,1002,GFM_MEDIA_FC26_6AB6BFCA771C,230,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYE_COLOUR_LIGHT_GREY,ea-sports-fc-26,Eye Colour,Light Grey,,,GFM_MEDIA_FC26_6AB6BFCA771C,230,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYE_COLOUR_GREEN,ea-sports-fc-26,Eye Colour,Green,,,GFM_MEDIA_FC26_6AB6BFCA771C,235,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYE_COLOUR_MEDIUM_GREY,ea-sports-fc-26,Eye Colour,Medium Grey,,,GFM_MEDIA_FC26_6AB6BFCA771C,240,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYE_COLOUR_LIGHT_BLUE,ea-sports-fc-26,Eye Colour,Light Blue,,,GFM_MEDIA_FC26_0C758EB69716,0,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYES_EYES_299,ea-sports-fc-26,Eyes,Eyes 299,299,299,GFM_MEDIA_FC26_0C758EB69716,0,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYES_EYES_1005,ea-sports-fc-26,Eyes,Eyes 1005,1005,1005,GFM_MEDIA_FC26_0C758EB69716,5,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYES_EYES_93,ea-sports-fc-26,Eyes,Eyes 93,93,93,GFM_MEDIA_FC26_0C758EB69716,10,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYES_EYES_268,ea-sports-fc-26,Eyes,Eyes 268,268,268,GFM_MEDIA_FC26_0C758EB69716,15,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
