queue_id,candidate_id,game_id,category,suspected_native_label,review_status,production_status
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_6,FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_6,ea-sports-fc-26,Complexion,Complexion 6,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_9,FC26_RESEARCH_FC26_HEAD_COMPLEXION_COMPLEXION_9,ea-sports-fc-26,Complexion,Complexion 9,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_18,FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_18,ea-sports-fc-26,Skin Surface,Skin Surface 18,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_27,FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_27,ea-sports-fc-26,Skin Surface,Skin Surface 27,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_36,FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_36,ea-sports-fc-26,Skin Surface,Skin Surface 36,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_41,FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_41,ea-sports-fc-26,Skin Surface,Skin Surface 41,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_51,FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_51,ea-sports-fc-26,Skin Surface,Skin Surface 51,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_3,FC26_RESEARCH_FC26_HEAD_SKIN_SURFACE_SKIN_SURFACE_3,ea-sports-fc-26,Skin Surface,Skin Surface 3,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FRECKLES_NONE,FC26_RESEARCH_FC26_HEAD_FRECKLES_NONE,ea-sports-fc-26,Freckles,None,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FRECKLES_FRECKLES_2,FC26_RESEARCH_FC26_HEAD_FRECKLES_FRECKLES_2,ea-sports-fc-26,Freckles,Freckles 2,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FRECKLES_FRECKLES_12,FC26_RESEARCH_FC26_HEAD_FRECKLES_FRECKLES_12,ea-sports-fc-26,Freckles,Freckles 12,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FRECKLES_FRECKLES_3,FC26_RESEARCH_FC26_HEAD_FRECKLES_FRECKLES_3,ea-sports-fc-26,Freckles,Freckles 3,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_9,FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_9,ea-sports-fc-26,Scarring,Scarring 9,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_18,FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_18,ea-sports-fc-26,Scarring,Scarring 18,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_26,FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_26,ea-sports-fc-26,Scarring,Scarring 26,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_36,FC26_RESEARCH_FC26_HEAD_SCARRING_SCARRING_36,ea-sports-fc-26,Scarring,Scarring 36,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_MOLES_MOLES_2,FC26_RESEARCH_FC26_HEAD_MOLES_MOLES_2,ea-sports-fc-26,Moles,Moles 2,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_MOLES_MOLES_7,FC26_RESEARCH_FC26_HEAD_MOLES_MOLES_7,ea-sports-fc-26,Moles,Moles 7,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_ROSACEA_ROSACEA_5,FC26_RESEARCH_FC26_HEAD_ROSACEA_ROSACEA_5,ea-sports-fc-26,Rosacea,Rosacea 5,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FACE_MAKEUP_FACE_MAKEUP_2,FC26_RESEARCH_FC26_HEAD_FACE_MAKEUP_FACE_MAKEUP_2,ea-sports-fc-26,Face Makeup,Face Makeup 2,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_LIP_MAKEUP_NONE,FC26_RESEARCH_FC26_HEAD_LIP_MAKEUP_NONE,ea-sports-fc-26,Lip Makeup,None,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_1002,FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_1002,ea-sports-fc-26,Forehead,Forehead 1002,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_294,FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_294,ea-sports-fc-26,Forehead,Forehead 294,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_23,FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_23,ea-sports-fc-26,Forehead,Forehead 23,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_175,FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_175,ea-sports-fc-26,Forehead,Forehead 175,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_304,FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_304,ea-sports-fc-26,Forehead,Forehead 304,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_9,FC26_RESEARCH_FC26_HEAD_FOREHEAD_FOREHEAD_9,ea-sports-fc-26,Forehead,Forehead 9,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_JAW_JAW_226,FC26_RESEARCH_FC26_HEAD_JAW_JAW_226,ea-sports-fc-26,Jaw,Jaw 226,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_JAW_JAW_260,FC26_RESEARCH_FC26_HEAD_JAW_JAW_260,ea-sports-fc-26,Jaw,Jaw 260,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_JAW_JAW_9,FC26_RESEARCH_FC26_HEAD_JAW_JAW_9,ea-sports-fc-26,Jaw,Jaw 9,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_JAW_JAW_151,FC26_RESEARCH_FC26_HEAD_JAW_JAW_151,ea-sports-fc-26,Jaw,Jaw 151,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_JAW_JAW_294,FC26_RESEARCH_FC26_HEAD_JAW_JAW_294,ea-sports-fc-26,Jaw,Jaw 294,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_JAW_JAW_1002,FC26_RESEARCH_FC26_HEAD_JAW_JAW_1002,ea-sports-fc-26,Jaw,Jaw 1002,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_EARS_EARS_175,FC26_RESEARCH_FC26_HEAD_EARS_EARS_175,ea-sports-fc-26,Ears,Ears 175,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_EARS_EARS_249,FC26_RESEARCH_FC26_HEAD_EARS_EARS_249,ea-sports-fc-26,Ears,Ears 249,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_EARS_EARS_1006,FC26_RESEARCH_FC26_HEAD_EARS_EARS_1006,ea-sports-fc-26,Ears,Ears 1006,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_EARS_EARS_194,FC26_RESEARCH_FC26_HEAD_EARS_EARS_194,ea-sports-fc-26,Ears,Ears 194,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_EARS_EARS_170,FC26_RESEARCH_FC26_HEAD_EARS_EARS_170,ea-sports-fc-26,Ears,Ears 170,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_202,FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_202,ea-sports-fc-26,Cheeks,Cheeks 202,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_299,FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_299,ea-sports-fc-26,Cheeks,Cheeks 299,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_43,FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_43,ea-sports-fc-26,Cheeks,Cheeks 43,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_203,FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_203,ea-sports-fc-26,Cheeks,Cheeks 203,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_226,FC26_RESEARCH_FC26_HEAD_CHEEKS_CHEEKS_226,ea-sports-fc-26,Cheeks,Cheeks 226,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_226,FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_226,ea-sports-fc-26,Chin,Chin 226,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_268,FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_268,ea-sports-fc-26,Chin,Chin 268,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_1003,FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_1003,ea-sports-fc-26,Chin,Chin 1003,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_118,FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_118,ea-sports-fc-26,Chin,Chin 118,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_1001,FC26_RESEARCH_FC26_HEAD_CHIN_CHIN_1001,ea-sports-fc-26,Chin,Chin 1001,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_NECK_NECK_241,FC26_RESEARCH_FC26_HEAD_NECK_NECK_241,ea-sports-fc-26,Neck,Neck 241,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_NECK_NECK_304,FC26_RESEARCH_FC26_HEAD_NECK_NECK_304,ea-sports-fc-26,Neck,Neck 304,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_NECK_NECK_52,FC26_RESEARCH_FC26_HEAD_NECK_NECK_52,ea-sports-fc-26,Neck,Neck 52,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HEAD_NECK_NECK_1002,FC26_RESEARCH_FC26_HEAD_NECK_NECK_1002,ea-sports-fc-26,Neck,Neck 1002,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYE_COLOUR_LIGHT_GREY,FC26_RESEARCH_FC26_FACE_EYE_COLOUR_LIGHT_GREY,ea-sports-fc-26,Eye Colour,Light Grey,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYE_COLOUR_GREEN,FC26_RESEARCH_FC26_FACE_EYE_COLOUR_GREEN,ea-sports-fc-26,Eye Colour,Green,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYE_COLOUR_MEDIUM_GREY,FC26_RESEARCH_FC26_FACE_EYE_COLOUR_MEDIUM_GREY,ea-sports-fc-26,Eye Colour,Medium Grey,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYE_COLOUR_LIGHT_BLUE,FC26_RESEARCH_FC26_FACE_EYE_COLOUR_LIGHT_BLUE,ea-sports-fc-26,Eye Colour,Light Blue,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYES_EYES_299,FC26_RESEARCH_FC26_FACE_EYES_EYES_299,ea-sports-fc-26,Eyes,Eyes 299,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYES_EYES_1005,FC26_RESEARCH_FC26_FACE_EYES_EYES_1005,ea-sports-fc-26,Eyes,Eyes 1005,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYES_EYES_93,FC26_RESEARCH_FC26_FACE_EYES_EYES_93,ea-sports-fc-26,Eyes,Eyes 93,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYES_EYES_268,FC26_RESEARCH_FC26_FACE_EYES_EYES_268,ea-sports-fc-26,Eyes,Eyes 268,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYES_EYES_23,FC26_RESEARCH_FC26_FACE_EYES_EYES_23,ea-sports-fc-26,Eyes,Eyes 23,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYES_EYES_116,FC26_RESEARCH_FC26_FACE_EYES_EYES_116,ea-sports-fc-26,Eyes,Eyes 116,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_268,FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_268,ea-sports-fc-26,Eyebrows,Eyebrows 268,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_304,FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_304,ea-sports-fc-26,Eyebrows,Eyebrows 304,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_1004,FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_1004,ea-sports-fc-26,Eyebrows,Eyebrows 1004,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_115,FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_115,ea-sports-fc-26,Eyebrows,Eyebrows 115,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_3,FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_3,ea-sports-fc-26,Eyebrows,Eyebrows 3,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_NOSE_NOSE_203,FC26_RESEARCH_FC26_FACE_NOSE_NOSE_203,ea-sports-fc-26,Nose,Nose 203,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_NOSE_NOSE_226,FC26_RESEARCH_FC26_FACE_NOSE_NOSE_226,ea-sports-fc-26,Nose,Nose 226,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_NOSE_NOSE_1004,FC26_RESEARCH_FC26_FACE_NOSE_NOSE_1004,ea-sports-fc-26,Nose,Nose 1004,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_NOSE_NOSE_116,FC26_RESEARCH_FC26_FACE_NOSE_NOSE_116,ea-sports-fc-26,Nose,Nose 116,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_NOSE_NOSE_1002,FC26_RESEARCH_FC26_FACE_NOSE_NOSE_1002,ea-sports-fc-26,Nose,Nose 1002,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_NOSE_NOSE_294,FC26_RESEARCH_FC26_FACE_NOSE_NOSE_294,ea-sports-fc-26,Nose,Nose 294,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_226,FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_226,ea-sports-fc-26,Mouth,Mouth 226,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_304,FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_304,ea-sports-fc-26,Mouth,Mouth 304,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_241,FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_241,ea-sports-fc-26,Mouth,Mouth 241,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_1001,FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_1001,ea-sports-fc-26,Mouth,Mouth 1001,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_170,FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_170,ea-sports-fc-26,Mouth,Mouth 170,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_TEETH_TEETH_6,FC26_RESEARCH_FC26_FACE_TEETH_TEETH_6,ea-sports-fc-26,Teeth,Teeth 6,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_FACE_TEETH_TEETH_2,FC26_RESEARCH_FC26_FACE_TEETH_TEETH_2,ea-sports-fc-26,Teeth,Teeth 2,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HAIR_COLOUR_BLACK,FC26_RESEARCH_FC26_HAIR_COLOUR_BLACK,ea-sports-fc-26,Hair Colour,Black,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HAIR_COLOUR_MEDIUM_BROWN,FC26_RESEARCH_FC26_HAIR_COLOUR_MEDIUM_BROWN,ea-sports-fc-26,Hair Colour,Medium Brown,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HAIR_COLOUR_PASTEL_PINK,FC26_RESEARCH_FC26_HAIR_COLOUR_PASTEL_PINK,ea-sports-fc-26,Hair Colour,Pastel Pink,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HAIR_COLOUR_PINK,FC26_RESEARCH_FC26_HAIR_COLOUR_PINK,ea-sports-fc-26,Hair Colour,Pink,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HAIR_COLOUR_GREY,FC26_RESEARCH_FC26_HAIR_COLOUR_GREY,ea-sports-fc-26,Hair Colour,Grey,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HAIR_COLOUR_PERIWINKLE,FC26_RESEARCH_FC26_HAIR_COLOUR_PERIWINKLE,ea-sports-fc-26,Hair Colour,Periwinkle,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HAIR_STYLE_GROUP_MEDIUM,FC26_RESEARCH_FC26_HAIR_STYLE_GROUP_MEDIUM,ea-sports-fc-26,Hair Style group,Medium,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
PRIMARY_REVIEW_FC26_RESEARCH_FC26_HAIR_STYLE_GROUP_SHORT,FC26_RESEARCH_FC26_HAIR_STYLE_GROUP_SHORT,ea-sports-fc-26,Hair Style group,Short,READY_FOR_PRIMARY_REVIEW,NOT_PRODUCTION_DATA
