stableResearchCatalogID,nativeOptionNumber,nativeLabel,nativeOrder,environmentID,visibleGameLabelOrIndex,primarySourceVideo,primaryTimestampRange,evidenceID,evidenceFramePath,evidenceFrameTimestamp,menuNumberVisible,transitionAnimationFinished,qualityStatus,visualEvidenceQuality,countConfidence,orderingConfidence,visualComparisonSuitability,recaptureStatus,suitableMenuPresence,suitableOrdering,suitableCounting,suitablePreliminaryVisualAnnotation,suitableProductionGeometricComparison,productionStatus,verificationStatus
CF27_XBOXUNKNOWN_RTG_HEAD_017,17,Face 17,17,env-cf27-phase0-video-001-rtg-custom-qb,Face 17,phase0-video-003,30-39,phase0-frame-video-003-tl-005,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_017/CF27_XBOXUNKNOWN_RTG_HEAD_017_MENU_video-003_34p20s.png,34.2,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_018,18,Face 18,18,env-cf27-phase0-video-001-rtg-custom-qb,Face 18,phase0-video-003,40-49,phase0-frame-video-003-tl-006,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_018/CF27_XBOXUNKNOWN_RTG_HEAD_018_MENU_video-003_41p36s.png,41.36,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_021,21,Face 21,21,env-cf27-phase0-video-001-rtg-custom-qb,Face 21,phase0-video-003,80-89,phase0-frame-video-003-tl-010,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_021/CF27_XBOXUNKNOWN_RTG_HEAD_021_MENU_video-003_80p88s.png,80.88,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_022,22,Face 22,22,env-cf27-phase0-video-001-rtg-custom-qb,Face 22,phase0-video-003,70-79,phase0-frame-video-003-tl-009,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_022/CF27_XBOXUNKNOWN_RTG_HEAD_022_MENU_video-003_76p72s.png,76.72,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_023,23,Face 23,23,env-cf27-phase0-video-001-rtg-custom-qb,Face 23,phase0-video-003,50-59,phase0-frame-video-003-tl-007,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_023/CF27_XBOXUNKNOWN_RTG_HEAD_023_MENU_video-003_57p20s.png,57.2,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_024,24,Face 24,24,env-cf27-phase0-video-001-rtg-custom-qb,Face 24,phase0-video-003,60-69,phase0-frame-video-003-tl-008,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_024/CF27_XBOXUNKNOWN_RTG_HEAD_024_MENU_video-003_63p88s.png,63.88,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_027,27,Face 27,27,env-cf27-phase0-video-001-rtg-custom-qb,Face 27,phase0-video-003,90-99,phase0-frame-video-003-tl-011,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_026/CF27_XBOXUNKNOWN_RTG_HEAD_026_MENU_video-003_95p04s.png,95.04,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,MEDIUM_NATIVE_NUMBER_VISIBLE_FRAME_ID_MISMATCH_REVIEW_REQUIRED,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_028,28,Face 28,28,env-cf27-phase0-video-001-rtg-custom-qb,Face 28,phase0-video-003,100-109,phase0-frame-video-003-tl-012,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_027/CF27_XBOXUNKNOWN_RTG_HEAD_027_MENU_video-003_100p72s.png,100.72,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,MEDIUM_NATIVE_NUMBER_VISIBLE_FRAME_ID_MISMATCH_REVIEW_REQUIRED,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_029,29,Face 29,29,env-cf27-phase0-video-001-rtg-custom-qb,Face 29,phase0-video-003,127-133.02,phase0-frame-video-003-tl-015,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_029/CF27_XBOXUNKNOWN_RTG_HEAD_029_MENU_video-003_128p20s.png,128.2,true,false,LIMITED_MATCHING_IMAGE_RECAPTURE_REQUIRED,LIMITED_RESEARCH_MENU_AND_APPROXIMATE_ROTATION_FRAMES,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,HIGH_NATIVE_NUMBER_VISIBLE_FOR_THIS_RECORD_SEQUENCE_INCOMPLETE,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_HEAD_030,30,Face 30,30,env-cf27-phase0-video-001-rtg-custom-qb,Face 30,phase0-video-003,120-126,phase0-frame-video-003-tl-014,data/phase-zero/derivative-frames/video-003-tl-014_03-head-templates-faces-12-29-mov_123s.png,123,true,false,MENU_EVIDENCE_ONLY_RECAPTURE_REQUIRED,RESEARCH_MENU_EVIDENCE_ONLY,PARTIAL_OBSERVED_SELECTION_ONLY_TOTAL_COUNT_NOT_PROVEN,MEDIUM_NATIVE_NUMBER_VISIBLE_FRAME_ID_MISMATCH_REVIEW_REQUIRED,NOT_SUITABLE_FOR_PRODUCTION_GEOMETRIC_COMPARISON,RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON,true,true,PARTIAL_OBSERVED_PRESENCE_ONLY_NOT_TOTAL_COUNT,true,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
