detailedControlID,nativeControlLabel,nativeDisplayLabel,nativeOptionNumber,nativeOrder,valueKind,productionStatus,verificationStatus,evidenceFramePath,sourceTimestampRange,recommendationSuitability
detailed-control-skin-tone,Skin Tone,Skin Tone 12,12,12,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_012/CF27_XBOXUNKNOWN_RTG_SKINTONE_012_MENU_video-004_43p50s.png,43-44,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 13,13,13,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_013/CF27_XBOXUNKNOWN_RTG_SKINTONE_013_MENU_video-004_39p50s.png,39-40,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 17,17,17,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_014/CF27_XBOXUNKNOWN_RTG_SKINTONE_014_MENU_video-004_38p00s.png,37-38,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 18,18,18,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_015/CF27_XBOXUNKNOWN_RTG_SKINTONE_015_MENU_video-004_21p50s.png,20-22,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 19,19,19,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_019/CF27_XBOXUNKNOWN_RTG_SKINTONE_019_MENU_video-004_17p50s.png,17-19,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 20,20,20,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_020/CF27_XBOXUNKNOWN_RTG_SKINTONE_020_MENU_video-004_15p50s.png,15-16,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 21,21,21,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_021/CF27_XBOXUNKNOWN_RTG_SKINTONE_021_MENU_video-004_23p50s.png,23-24,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 22,22,22,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/phase-zero/derivative-frames/video-004-tl-014_04-skin-tone-mp4_35p5s.png,35-36,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 23,23,23,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/phase-zero/derivative-frames/video-004-tl-023_04-skin-tone-mp4_52p91s.png,52-53.82,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 24,24,24,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_024/CF27_XBOXUNKNOWN_RTG_SKINTONE_024_MENU_video-004_33p00s.png,33-34,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-tone,Skin Tone,Skin Tone 29,29,29,numbered_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_023/CF27_XBOXUNKNOWN_RTG_SKINTONE_023_MENU_video-004_31p50s.png,31-32,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,None,,1,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001_MENU_video-005_8p00s.png,8-8,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,Freckles 2,,2,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002_MENU_video-005_10p00s.png,9-10,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,Scar 3,,3,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003_MENU_video-005_13p00s.png,11-14,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,Scar 2,,4,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004_MENU_video-005_15p50s.png,15-16,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,Scar 1,,5,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005_MENU_video-005_24p00s.png,23-24,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,Acne Scar 1,,6,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006_MENU_video-005_22p00s.png,21-22,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,Redness 3,,7,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007_MENU_video-005_20p00s.png,19-20,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,Redness 2,,8,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008_MENU_video-005_18p00s.png,17-18,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,Redness 1,,9,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009_MENU_video-005_26p00s.png,25-26,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-skin-details,Skin Details,Freckles 1,,10,named_texture_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010_MENU_video-005_29p00s.png,27-31.72,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-shape,Eye Shape,Almond,,1,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_001/CF27_XBOXUNKNOWN_RTG_EYESHAPE_001_MENU_video-006_14p00s.png,14-14,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-shape,Eye Shape,None,,2,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_002/CF27_XBOXUNKNOWN_RTG_EYESHAPE_002_MENU_video-006_16p00s.png,15-16,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-shape,Eye Shape,Prominent,,3,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_003/CF27_XBOXUNKNOWN_RTG_EYESHAPE_003_MENU_video-006_18p00s.png,17-18,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-shape,Eye Shape,Monolid,,4,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_004/CF27_XBOXUNKNOWN_RTG_EYESHAPE_004_MENU_video-006_19p00s.png,19-19,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-shape,Eye Shape,Hooded,,5,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_005_MENU_video-006_22p00s.png,20-24.93,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-color,Eye Color,Light Blue,,1,named_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/phase-zero/derivative-frames/video-007-tl-002_07-eye-color-mp4_12s.png,12-12,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-color,Eye Color,Light Brown,,2,named_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001/CF27_XBOXUNKNOWN_RTG_EYECOLOR_001_MENU_THUMBNAIL_EVIDENCE_video-007_13p00s.png,13-15,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-color,Eye Color,Brown,,3,named_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_003/CF27_XBOXUNKNOWN_RTG_EYECOLOR_003_MENU_THUMBNAIL_EVIDENCE_video-007_17p00s.png,16-17,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-color,Eye Color,Blue,,4,named_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_004/CF27_XBOXUNKNOWN_RTG_EYECOLOR_004_MENU_THUMBNAIL_EVIDENCE_video-007_19p00s.png,18-20,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-color,Eye Color,Light Green,,5,named_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_005/CF27_XBOXUNKNOWN_RTG_EYECOLOR_005_MENU_THUMBNAIL_EVIDENCE_video-007_28p00s.png,25-29.33,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-color,Eye Color,Grey,,6,named_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_006/CF27_XBOXUNKNOWN_RTG_EYECOLOR_006_MENU_THUMBNAIL_EVIDENCE_video-007_24p00s.png,23-24,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-eye-color,Eye Color,Hazel,,7,named_color_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/eye-color-options-001-007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_007/CF27_XBOXUNKNOWN_RTG_EYECOLOR_007_MENU_THUMBNAIL_EVIDENCE_video-007_22p00s.png,21-22,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-nose,Nose,None,,1,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_001/CF27_XBOXUNKNOWN_RTG_NOSE_001_MENU_EVIDENCE_video-008_15p00s.png,15-15,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-nose,Nose,Hooked,,2,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_002/CF27_XBOXUNKNOWN_RTG_NOSE_002_MENU_EVIDENCE_video-008_17p00s.png,16-18,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-nose,Nose,Button,,3,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_003/CF27_XBOXUNKNOWN_RTG_NOSE_003_MENU_EVIDENCE_video-008_19p00s.png,19-20,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-nose,Nose,Nubian,,4,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_004/CF27_XBOXUNKNOWN_RTG_NOSE_004_MENU_EVIDENCE_video-008_21p00s.png,21-22,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-nose,Nose,Aquiline,,5,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_005/CF27_XBOXUNKNOWN_RTG_NOSE_005_BEST_AVAILABLE_THREE_QUARTER_video-008_14p00s.png,14-14,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-nose,Nose,Roman,,6,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_006/CF27_XBOXUNKNOWN_RTG_NOSE_006_MENU_EVIDENCE_video-008_26p00s.png,25-27,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-nose,Nose,Funnel,,7,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/nose-options-001-007/CF27_XBOXUNKNOWN_RTG_NOSE_007/CF27_XBOXUNKNOWN_RTG_NOSE_007_MENU_EVIDENCE_video-008_23p00s.png,23-24,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-ear-shape,Ear Shape,Attached Lobe,,1,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001/CF27_XBOXUNKNOWN_RTG_EARSHAPE_001_MENU_EVIDENCE_video-009_18p00s.png,18-20,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-ear-shape,Ear Shape,None,,2,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/phase-zero/derivative-frames/video-009-tl-002_09-ear-shape-mp4_16p5s.png,16-17,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-ear-shape,Ear Shape,Round Free Lobe,,3,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002/CF27_XBOXUNKNOWN_RTG_EARSHAPE_002_MENU_EVIDENCE_video-009_23p00s.png,23-25,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
detailed-control-ear-shape,Ear Shape,Pointed,,4,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/research/cf27/generated/full-resolution-frames/ear-shape-options-001-004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004/CF27_XBOXUNKNOWN_RTG_EARSHAPE_004_MENU_EVIDENCE_video-009_26p00s.png,26-30.21,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,Mouth Shape,Heavy,,7,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_009_mouth_shape_215p5s.png,210-219,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,Jaw Shape,Square,,2,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_010_jaw_shape_225p5s.png,220-229,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
CF27_XBOXUNKNOWN_RTG_CHIN_SQUARE,Chin,Square,,2,named_geometry_option,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_011_chin_235p0s.png,230-240.24,UNSUITABLE_RESEARCH_ONLY_NOT_VERIFIED
