timeline_record_id,video_id,start_timestamp,end_timestamp,visible_menu_label,visible_option_label,confidence,extracted_frame_path
CF27_XBOX_SOURCE_2026_08_02_001-tl-011,CF27_XBOX_SOURCE_2026_08_02_001,230,240.24,Chin,Square,HIGH,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_001_tl_011_chin_235p0s.png
CF27_XBOX_SOURCE_2026_08_02_002-tl-001,CF27_XBOX_SOURCE_2026_08_02_002,0,4,Appearance menu / Hair row,,MEDIUM,
CF27_XBOX_SOURCE_2026_08_02_002-tl-002,CF27_XBOX_SOURCE_2026_08_02_002,5,99,Hair Style,Short Curly,HIGH,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_002_tl_002_hair_style_5p5s.png
CF27_XBOX_SOURCE_2026_08_02_002-tl-003,CF27_XBOX_SOURCE_2026_08_02_002,100,174,Hair Color,Light Brown,HIGH,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_002_tl_003_hair_color_100p5s.png
CF27_XBOX_SOURCE_2026_08_02_002-tl-004,CF27_XBOX_SOURCE_2026_08_02_002,175,224,Facial Hair Style,Mutton Chops,HIGH,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_002_tl_004_facial_hair_style_175p5s.png
CF27_XBOX_SOURCE_2026_08_02_002-tl-005,CF27_XBOX_SOURCE_2026_08_02_002,225,235.35,Facial Hair Color,Purple,HIGH,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_002_tl_005_facial_hair_color_225p5s.png
CF27_XBOX_SOURCE_2026_08_02_003-tl-001,CF27_XBOX_SOURCE_2026_08_02_003,0,4,Player body / Styles entry,,MEDIUM,
CF27_XBOX_SOURCE_2026_08_02_003-tl-002,CF27_XBOX_SOURCE_2026_08_02_003,5,74,QB Throw Style,Over the Top 2,HIGH,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_003_tl_002_styles_throw_style_5p5s.png
CF27_XBOX_SOURCE_2026_08_02_003-tl-003,CF27_XBOX_SOURCE_2026_08_02_003,75,124,Run Style,Default / visible style values,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_003_tl_003_styles_run_style_75p5s.png
CF27_XBOX_SOURCE_2026_08_02_003-tl-004,CF27_XBOX_SOURCE_2026_08_02_003,125,154,QB Under Center Stance,Visible stance values,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_003_tl_004_styles_under_center_stance_125p5s.png
CF27_XBOX_SOURCE_2026_08_02_003-tl-005,CF27_XBOX_SOURCE_2026_08_02_003,155,163.8,2-Point Stance rows,Visible stance values,MEDIUM,data/phase-zero/derivative-frames/august-2026-source-recordings/CF27_XBOX_SOURCE_2026_08_02_003_tl_005_styles_point_stance_155p5s.png
