stableResearchCatalogID,category,parentMenuLabel,controlType,nativeOrder,nativeDisplayLabel,nativeOptionNumber,sourceVideo,sourceTimestampRange,evidenceID,evidenceFramePath,visibleDefaultStatus,selectorWrapObserved,totalCountSupported,geometryEffect,textureEffect,colorEffect,presentationOnlyEffect,orderConfidence,countConfidence,productionGeometricComparison,productionStatus,verificationStatus
CF27_XBOXUNKNOWN_RTG_SKINTONE_013,Skin Tone,Head & Skin,color_selector_numbered_grid,13,Skin Tone 13,13,phase0-video-004,39-40,phase0-frame-video-004-tl-016,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_013/CF27_XBOXUNKNOWN_RTG_SKINTONE_013_MENU_video-004_39p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_017,Skin Tone,Head & Skin,color_selector_numbered_grid,17,Skin Tone 17,17,phase0-video-004,37-38,phase0-frame-video-004-tl-015,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_014/CF27_XBOXUNKNOWN_RTG_SKINTONE_014_MENU_video-004_38p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,MEDIUM_FRAME_ID_MISMATCH_REVIEW_REQUIRED,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_018,Skin Tone,Head & Skin,color_selector_numbered_grid,18,Skin Tone 18,18,phase0-video-004,20-22,phase0-frame-video-004-tl-007,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_015/CF27_XBOXUNKNOWN_RTG_SKINTONE_015_MENU_video-004_21p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,MEDIUM_FRAME_ID_MISMATCH_REVIEW_REQUIRED,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_019,Skin Tone,Head & Skin,color_selector_numbered_grid,19,Skin Tone 19,19,phase0-video-004,17-19,phase0-frame-video-004-tl-006,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_019/CF27_XBOXUNKNOWN_RTG_SKINTONE_019_MENU_video-004_17p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_020,Skin Tone,Head & Skin,color_selector_numbered_grid,20,Skin Tone 20,20,phase0-video-004,15-16,phase0-frame-video-004-tl-005,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_020/CF27_XBOXUNKNOWN_RTG_SKINTONE_020_MENU_video-004_15p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_021,Skin Tone,Head & Skin,color_selector_numbered_grid,21,Skin Tone 21,21,phase0-video-004,23-24,phase0-frame-video-004-tl-008,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_021/CF27_XBOXUNKNOWN_RTG_SKINTONE_021_MENU_video-004_23p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_022,Skin Tone,Head & Skin,color_selector_numbered_grid,22,Skin Tone 22,22,phase0-video-004,35-36,phase0-frame-video-004-tl-014,data/phase-zero/derivative-frames/video-004-tl-014_04-skin-tone-mp4_35p5s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,MEDIUM_FRAME_ID_MISMATCH_REVIEW_REQUIRED,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_023,Skin Tone,Head & Skin,color_selector_numbered_grid,23,Skin Tone 23,23,phase0-video-004,52-53.82,phase0-frame-video-004-tl-023,data/phase-zero/derivative-frames/video-004-tl-023_04-skin-tone-mp4_52p91s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,MEDIUM_FRAME_ID_MISMATCH_REVIEW_REQUIRED,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_024,Skin Tone,Head & Skin,color_selector_numbered_grid,24,Skin Tone 24,24,phase0-video-004,33-34,phase0-frame-video-004-tl-013,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_024/CF27_XBOXUNKNOWN_RTG_SKINTONE_024_MENU_video-004_33p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,HIGH_VISIBLE_NATIVE_NUMBER,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINTONE_029,Skin Tone,Head & Skin,color_selector_numbered_grid,29,Skin Tone 29,29,phase0-video-004,31-32,phase0-frame-video-004-tl-012,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_023/CF27_XBOXUNKNOWN_RTG_SKINTONE_023_MENU_video-004_31p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,not_supported_by_current_evidence,supported_by_visible_skin-presentation_change,supported_by_visible_skin-presentation_change,MEDIUM_FRAME_ID_MISMATCH_REVIEW_REQUIRED,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001,Skin Details,Head & Skin,named_option_grid,1,None,,phase0-video-005,8-8,phase0-frame-video-005-tl-002,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001_MENU_video-005_8p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,Skin Details,Head & Skin,named_option_grid,2,Freckles 2,,phase0-video-005,9-10,phase0-frame-video-005-tl-003,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002_MENU_video-005_10p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,Skin Details,Head & Skin,named_option_grid,3,Scar 3,,phase0-video-005,11-14,phase0-frame-video-005-tl-004,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003_MENU_video-005_13p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004,Skin Details,Head & Skin,named_option_grid,4,Scar 2,,phase0-video-005,15-16,phase0-frame-video-005-tl-005,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004_MENU_video-005_15p50s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,Skin Details,Head & Skin,named_option_grid,5,Scar 1,,phase0-video-005,23-24,phase0-frame-video-005-tl-009,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005_MENU_video-005_24p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006,Skin Details,Head & Skin,named_option_grid,6,Acne Scar 1,,phase0-video-005,21-22,phase0-frame-video-005-tl-008,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006_MENU_video-005_22p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007,Skin Details,Head & Skin,named_option_grid,7,Redness 3,,phase0-video-005,19-20,phase0-frame-video-005-tl-007,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007_MENU_video-005_20p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008,Skin Details,Head & Skin,named_option_grid,8,Redness 2,,phase0-video-005,17-18,phase0-frame-video-005-tl-006,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008_MENU_video-005_18p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009,Skin Details,Head & Skin,named_option_grid,9,Redness 1,,phase0-video-005,25-26,phase0-frame-video-005-tl-010,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009_MENU_video-005_26p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,Skin Details,Head & Skin,named_option_grid,10,Freckles 1,,phase0-video-005,27-31.72,phase0-frame-video-005-tl-011,data/research/cf27/generated/full-resolution-frames/skin-details-options-001-010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010/CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010_MENU_video-005_29p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,not_supported_by_current_evidence,supported_by_native_labels_and_visible_detail_category,not_supported_by_current_evidence,supported_as_surface-detail_presentation,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,Head & Skin,named_option_grid,1,Almond,,phase0-video-006,14-14,phase0-frame-video-006-tl-002,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_001/CF27_XBOXUNKNOWN_RTG_EYESHAPE_001_MENU_video-006_14p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,supported_by_native_shape_category_pending_measurement,not_supported_by_current_evidence,not_supported_by_current_evidence,not_supported_by_current_evidence,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,Head & Skin,named_option_grid,2,None,,phase0-video-006,15-16,phase0-frame-video-006-tl-003,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_002/CF27_XBOXUNKNOWN_RTG_EYESHAPE_002_MENU_video-006_16p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,supported_by_native_shape_category_pending_measurement,not_supported_by_current_evidence,not_supported_by_current_evidence,not_supported_by_current_evidence,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,Head & Skin,named_option_grid,3,Prominent,,phase0-video-006,17-18,phase0-frame-video-006-tl-004,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_003/CF27_XBOXUNKNOWN_RTG_EYESHAPE_003_MENU_video-006_18p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,supported_by_native_shape_category_pending_measurement,not_supported_by_current_evidence,not_supported_by_current_evidence,not_supported_by_current_evidence,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,Head & Skin,named_option_grid,4,Monolid,,phase0-video-006,19-19,phase0-frame-video-006-tl-005,data/research/cf27/generated/full-resolution-frames/eye-shape-options-001-005/CF27_XBOXUNKNOWN_RTG_EYESHAPE_004/CF27_XBOXUNKNOWN_RTG_EYESHAPE_004_MENU_video-006_19p00s.png,UNKNOWN_NOT_DIRECTLY_SHOWN,false,false,supported_by_native_shape_category_pending_measurement,not_supported_by_current_evidence,not_supported_by_current_evidence,not_supported_by_current_evidence,MEDIUM_EXISTING_RESEARCH_GRID_ORDER_PENDING_REVIEW,LOW_TOTAL_COUNT_NOT_PROVEN,false,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION
