candidateID,category,nativeOrder,nativeVisibleLabelOrIndex,primaryReviewStatus,sourceVideoID,sourceVideoFilename,sourceTimestampRange,evidenceIDs,evidenceResolved,selectedValueVisible,categoryVisible,firstSelectorOptionKnown,finalSelectorOptionKnown,selectorWrapKnown,duplicated,ambiguous,environmentResolved,publicationBlockers
CF27_XBOXUNKNOWN_RTG_EYECOLOR_001,Eye Color,1,Light Blue,PRIMARY_APPROVED_WITH_NOTES,phase0-video-007,07_Eye_Color.mp4,12-12,phase0-frame-video-007-tl-002,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYECOLOR_002,Eye Color,2,Light Brown,PRIMARY_APPROVED_WITH_NOTES,phase0-video-007,07_Eye_Color.mp4,13-15,phase0-frame-video-007-tl-003,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYECOLOR_003,Eye Color,3,Brown,PRIMARY_APPROVED_WITH_NOTES,phase0-video-007,07_Eye_Color.mp4,16-17,phase0-frame-video-007-tl-004,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYECOLOR_004,Eye Color,4,Blue,PRIMARY_APPROVED_WITH_NOTES,phase0-video-007,07_Eye_Color.mp4,18-20,phase0-frame-video-007-tl-005,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYECOLOR_005,Eye Color,5,Light Green,PRIMARY_APPROVED_WITH_NOTES,phase0-video-007,07_Eye_Color.mp4,25-29.33,phase0-frame-video-007-tl-008,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYECOLOR_006,Eye Color,6,Grey,PRIMARY_APPROVED_WITH_NOTES,phase0-video-007,07_Eye_Color.mp4,23-24,phase0-frame-video-007-tl-007,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYECOLOR_007,Eye Color,7,Hazel,PRIMARY_APPROVED_WITH_NOTES,phase0-video-007,07_Eye_Color.mp4,21-22,phase0-frame-video-007-tl-006,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYESHAPE_001,Eye Shape,1,Almond,PRIMARY_APPROVED_WITH_NOTES,phase0-video-006,06_Eye_Shape.mp4,14-14,phase0-frame-video-006-tl-002,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYESHAPE_002,Eye Shape,2,None,PRIMARY_APPROVED_WITH_NOTES,phase0-video-006,06_Eye_Shape.mp4,15-16,phase0-frame-video-006-tl-003,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYESHAPE_003,Eye Shape,3,Prominent,PRIMARY_APPROVED_WITH_NOTES,phase0-video-006,06_Eye_Shape.mp4,17-18,phase0-frame-video-006-tl-004,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYESHAPE_004,Eye Shape,4,Monolid,PRIMARY_APPROVED_WITH_NOTES,phase0-video-006,06_Eye_Shape.mp4,19-19,phase0-frame-video-006-tl-005,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_EYESHAPE_005,Eye Shape,5,Hooded,PRIMARY_APPROVED_WITH_NOTES,phase0-video-006,06_Eye_Shape.mp4,20-24.93,phase0-frame-video-006-tl-006,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_FACIALHAIRCOLOR_PURPLE,Facial-hair colors,,Purple,ORDER_UNRESOLVED,CF27_XBOX_SOURCE_2026_08_02_002,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,225-235.35,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-005,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_FACIALHAIR_MUTTON_CHOPS,Facial hair,,Mutton Chops,ORDER_UNRESOLVED,CF27_XBOX_SOURCE_2026_08_02_002,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,175-224,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-004,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HAIRCOLOR_LIGHT_BROWN,Hair colors,,Light Brown,ORDER_UNRESOLVED,CF27_XBOX_SOURCE_2026_08_02_002,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,100-174,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-003,true,true,true,false,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HAIRSTYLE_SHORT_CURLY,Hairstyles,1,Short Curly,PRIMARY_APPROVED_WITH_NOTES,CF27_XBOX_SOURCE_2026_08_02_002,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,5-99,phase0-frame-CF27_XBOX_SOURCE_2026_08_02_002-tl-002,true,true,true,true,false,false,false,false,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_001,Heads,1,Face 1,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,10-19,phase0-frame-video-002-tl-004,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_002,Heads,2,Face 2,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,20-28,phase0-frame-video-002-tl-005,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_003,Heads,3,Face 3,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,29-38,phase0-frame-video-002-tl-006,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_004,Heads,4,Face 4,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,39-48,phase0-frame-video-002-tl-007,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_005,Heads,5,Face 5,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,69-74,phase0-frame-video-002-tl-011,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_006,Heads,6,Face 6,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,60-68,phase0-frame-video-002-tl-010,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_007,Heads,7,Face 7,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,54-59,phase0-frame-video-002-tl-009,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_008,Heads,8,Face 8,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,49-53,phase0-frame-video-002-tl-008,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_009,Heads,9,Face 9,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,75-79,phase0-frame-video-002-tl-012,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_010,Heads,10,Face 10,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,80-88,phase0-frame-video-002-tl-013,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_011,Heads,11,Face 11,PRIMARY_APPROVED_WITH_NOTES,phase0-video-002,02_Head_Templates_Faces_01-12.mov,89-94,phase0-frame-video-002-tl-014,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_012,Heads,12,Face 12,DUPLICATE_REVIEW_REQUIRED,phase0-video-003,03_Head_Templates_Faces_12-29.mov,0-4,phase0-frame-video-002-tl-015; phase0-frame-video-003-tl-001,true,true,true,true,false,false,true,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; DUPLICATE_REVIEW_REQUIRED
CF27_XBOXUNKNOWN_RTG_HEAD_013,Heads,13,Face 13,PRIMARY_APPROVED_WITH_NOTES,phase0-video-003,03_Head_Templates_Faces_12-29.mov,21-29,phase0-frame-video-003-tl-004,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_014,Heads,14,Face 14,PRIMARY_APPROVED_WITH_NOTES,phase0-video-003,03_Head_Templates_Faces_12-29.mov,14-20,phase0-frame-video-003-tl-003,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_016,Heads,16,Face 16,DUPLICATE_REVIEW_REQUIRED,phase0-video-003,03_Head_Templates_Faces_12-29.mov,5-13,phase0-frame-video-003-tl-002; phase0-frame-video-002-tl-016,true,true,true,true,false,false,true,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON; DUPLICATE_REVIEW_REQUIRED
CF27_XBOXUNKNOWN_RTG_HEAD_017,Heads,17,Face 17,PRIMARY_APPROVED_WITH_NOTES,phase0-video-003,03_Head_Templates_Faces_12-29.mov,30-39,phase0-frame-video-003-tl-005,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_018,Heads,18,Face 18,PRIMARY_APPROVED_WITH_NOTES,phase0-video-003,03_Head_Templates_Faces_12-29.mov,40-49,phase0-frame-video-003-tl-006,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_021,Heads,21,Face 21,PRIMARY_APPROVED_WITH_NOTES,phase0-video-003,03_Head_Templates_Faces_12-29.mov,80-89,phase0-frame-video-003-tl-010,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_022,Heads,22,Face 22,PRIMARY_APPROVED_WITH_NOTES,phase0-video-003,03_Head_Templates_Faces_12-29.mov,70-79,phase0-frame-video-003-tl-009,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_023,Heads,23,Face 23,PRIMARY_APPROVED_WITH_NOTES,phase0-video-003,03_Head_Templates_Faces_12-29.mov,50-59,phase0-frame-video-003-tl-007,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_024,Heads,24,Face 24,PRIMARY_APPROVED_WITH_NOTES,phase0-video-003,03_Head_Templates_Faces_12-29.mov,60-69,phase0-frame-video-003-tl-008,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
CF27_XBOXUNKNOWN_RTG_HEAD_027,Heads,27,Face 27,PRIMARY_APPROVED_WITH_NOTES,phase0-video-003,03_Head_Templates_Faces_12-29.mov,90-99,phase0-frame-video-003-tl-011,true,true,true,true,false,false,false,true,false,NOT_SECOND_VERIFIED; NO_CATALOG_MANAGER_APPROVAL; NOT_IN_APPROVED_IMMUTABLE_PRODUCTION_RELEASE; ENVIRONMENT_UNRESOLVED; CATEGORY_INCOMPLETE; RECAPTURE_REQUIRED_FOR_PRODUCTION_COMPARISON
