candidateID,category,independentObservation,candidateIdentityConfirmed,nativeLabelConfirmed,nativeIndexConfirmed,nativeOrderConfirmed,evidenceFilesResolve,frontViewConfirmed,secondaryAngleReviewed,menuCountConfirmed,duplicateRelationshipConfirmed,environmentCompatible,decisionStatus,discrepancyType,requiredNotes,recommendedResolution,resolutionEvidenceReference,decisionTimestamp,productionEligibilityState,recommendationEligibilityState
CF27_XBOXUNKNOWN_RTG_HEAD_021,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_022,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_023,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_024,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_027,Heads,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_028,Heads,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_029,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_030,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_HEAD_031,Heads,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_JAWSHAPE_SQUARE,Jaw Shape,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_MOUTHSHAPE_HEAVY,Mouth Shape,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_001,Nose,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_002,Nose,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_003,Nose,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_004,Nose,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_006,Nose,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_NOSE_007,Nose,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_001,Skin Details,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_002,Skin Details,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_003,Skin Details,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_004,Skin Details,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_005,Skin Details,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_006,Skin Details,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_007,Skin Details,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_008,Skin Details,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_009,Skin Details,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINDETAILS_010,Skin Details,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_001,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_002,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_003,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_004,Skin Tone,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_006,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_007,Skin Tone,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_008,Skin Tone,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_009,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_011,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_012,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_013,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_017,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_018,Skin Tone,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_019,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_020,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_021,Skin Tone,,,,,,,,,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_022,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_023,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_024,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
CF27_XBOXUNKNOWN_RTG_SKINTONE_029,Skin Tone,,,,,,,,not_selected,,not_applicable,,,none,,,,,NOT_ELIGIBLE,NOT_ELIGIBLE
